Fundraising Round,Sector,Investors,Type (Stage),Announcement ,Category,Date,Stage,Company,Amount
Chaos – Series A,Radar Systems,"8VC, Alpha Wave Global, Lerner Enterprises, Tamarack Global, Valar Ventures, Liquid2 Ventures",Series A,https://news.crunchbase.com/venture/chaos-industries-defense-tech-anduril/,Electronic Systems,2023-03-06,Early Stage Venture,Chaos,70000000
Firefly – Series A,Launch Services,"DADA Holdings, Astera Institute, Canon Ball, Reuben Brothers Limited, SMS Capital Investment, Raven One Ventures, XBTO Ventures",Series A,https://fireflyspace.com/news/firefly-completes-oversubscribed-75m-series-a-and-100m-secondary-transaction/,Space Systems,2021-05-05,Early Stage Venture,Firefly,75000000
Saildrone – Series C,Maritime Systems,"Standard Investments, XN, BOND, Emerson Collective, Crowley Maritime Corporation, Lux Capital, Social Capital, Tribe Capital, Capricorn",Series C,https://www.saildrone.com/news/saildrone-advance-ocean-intelligence-series-c-funding,Platform Systems,2021-10-18,Late Stage Venture,Saildrone,100000000
Saildrone – Series A,Maritime Systems,,Series A,https://www.prnewswire.com/news-releases/saildrone-inc-raises-14-million-in-series-a-funding-to-expand-its-fleet-of-sailing-drones-and-ocean-data-services-300322444.html,Platform Systems,2016-09-05,Early Stage Venture,Saildrone,14000000
K2 Space – Series B,Military Satellites,"Lightspeed Venture Partners, Alpine Space Ventures, Altimeter Capital, First Round Capital",Series B,https://www.prnewswire.com/news-releases/k2-space-announces-110m-series-b-and-first-successful-in-space-demonstration-302375955.html,Space Systems,2025-02-13,Early Stage Venture,K2 Space,110000000
Andesite – Seed,Cybersecurity Solutions,"General Catalyst, Red Cell Partners",Seed,https://www.globenewswire.com/news-release/2025/02/11/3024316/0/en/Andesite-Raises-Additional-23-Million-and-Announces-General-Availability-of-the-Bionic-SOC.html,Software & IT Services,2025-02-11,Seed,Andesite,23000000
Darkhive – Series A,Unmanned Aerial Vehicles (UAVs),"Ten Eleven Ventures, Crosslink, RTX Ventures, Stellar Ventures",Series A,https://www.darkhive.com/post/defense-tech-startup-darkhive-secures-21-million-series-a-investment-led-by-ten-eleven-ventures,Platform Systems,2024-09-09,Early Stage Venture,Darkhive,21000000
ARX Robotics – Extension,Unmanned Ground Vehicles (UGVs),"Speedinvest, HV Capital",Extension,https://tech.eu/2025/07/29/arx-robotics-secures-eur11m-in-series-a-extension/,Platform Systems,2025-07-29,Early Stage Venture,ARX Robotics,12900000
REGENT – Strategic,Maritime Systems,"Thiel Capital, JAM Fund, Mesa Air Group, Toba Capital, Olive Tree Capital",Strategic,https://www.regentcraft.com/news/regent-raises-18m-from-strategic-investors-to-accelerate-development-of-its-full-scale-12-passenger-prototype,Platform Systems,2022-02-04,Miscellaneous,REGENT,18000000
CesiumAstro – Extension,Communication Equipment,"Trousdale Ventures, Development Bank of Japan, Quanta Computer, Kleiner Perkins, Lavrock Ventures, L3Harris Technologies, InMotion Ventures, Matter Venture Partners, MESH Ventures, Assembly Ventures",Extension,https://www.cesiumastro.com/press-release/cesiumastro-secures-65m-in-oversubscribed-funding-round,Electronic Systems,2024-06-18,Early Stage Venture,CesiumAstro,65000000
Re:Build – Undisclosed,Manufacturing Support,General Catalyst,Undisclosed,https://rebuildmanufacturing.com/news/general-catalyst-invests-in-rebuild-manufacturing/,Support & Services,2024-09-25,Miscellaneous,Re:Build,120000000
SEMPRE – Series A,Communication Equipment,"Pendrell, 90 Degree North",Series A,https://www.sempre.ai/news/sempre-closes-14-3m-series-a-with-additional-support-from-existing-investors-and-new-2m-investment-from-pendrell,Electronic Systems,2025-05-08,Early Stage Venture,SEMPRE,14300000
Saronic – Seed,Maritime Systems,"Silent Venture, Caffeinated Capital, 8VC, Andreessen Horowitz (a16z), Lightspeed Venture Partners, Point72 Ventures, U.S. Innovative Technology Fund, Cubit Capital",Seed,https://silentventures.medium.com/silent-ventures-backed-saronic-raises-55m-series-a-will-redefine-u-s-maritime-superiority-48fbf26f687b,Platform Systems,2023-01-01,Seed,Saronic,15000000
Hadrian – Seed,Manufacturing Support,"Lux Capital, Founders Fund, Construct Capital",Seed,https://techcrunch.com/2021/04/15/hadrian-is-building-the-factories-of-the-future-for-rocket-ships-and-advanced-manufacturing/,Support & Services,2021-04-01,Seed,Hadrian,9500000
Deterrence – Seed,Ammunition & Explosives,"Riot Ventures, Definition Capital, Impatient Ventures, Valhalla Ventures, Banter Capital, Dmitri Alperovitch",Seed,https://www.prweb.com/releases/deterrence-secures-10-1m-in-funding-to-automate-energetics-production-302329902.html,Weapon Systems,2024-12-12,Seed,Deterrence,10100000
Applied Intuition – Series B,Defense Software,"General Catalyst, Kleiner Perkins, Andreessen Horowitz (a16z), Lux Capital, Floodgate, M12, Sozo Ventures, La Famiglia",Series B,https://www.appliedintuition.com/news/series-b-announcement,Software & IT Services,2019-09-12,Early Stage Venture,Applied Intuition,40000000
Impulse Space – Strategic,Launch Services,Lux Capital,Strategic,https://www.impulsespace.com/updates/impulse-space-secures-dollar10m-from-lux-capital-rounding-out-recent-funding-to-dollar30m,Space Systems,2022-06-16,Miscellaneous,Impulse Space,10000000
Zeno Power – Series A,Power & Energy Systems,"Tribe Capital, Pallas Ventures, DCVC, AIN Ventures, 1517",Series A,https://www.pallasadvisors.com/post/pallas-ventures-invests-in-zeno-power-series-a,Support & Services,2022-04-28,Early Stage Venture,Zeno Power,20000000
Quantum Systems – Series B,,"Notion, Porsche SE, Peter Thiel, HV Capital, DTCP, Project A, Thiel Capital, ScaleUp Fonds Bayern, Omnes Capital, Airbus",Series B,https://quantum-systems.com/blog/2024/09/24/quantum-systems-increases-series-b-financing-volume/,,2024-09-24,Early Stage Venture,Quantum Systems,111320000
Auterion – Undisclosed,Defense Software,"Lakestar, Mosaic Ventures, Costanoa Ventures, Tectonic Ventures",Undisclosed,https://venturebeat.com/entrepreneur/auterion-raises-10-million-for-open-source-drone-operating-system/,Software & IT Services,2018-11-04,Miscellaneous,Auterion,10000000
ACUA Ocean – Pre-Seed,Maritime Systems,"StealthPoint, BritBots, Sixth Wave Ventures, Blue Action Accelerator",Pre-Seed,https://www.oceansciencetechnology.com/news/acua-ocean-receives-backing-to-develop-hydrogen-powered-usv/,Platform Systems,2024-12-11,Seed,ACUA Ocean,1900000
Dedrone – Extension,Electronic Warfare Systems,"Axon, Aqton Partners, Menlo Ventures, TargetPartners, Felicis",Extension,https://www.dedrone.com/press/dedrone-closes-30-million-series-c-1-financing,Electronic Systems,2022-07-13,Late Stage Venture,Dedrone,30000000
Foundation Alloy – Undisclosed,Advanced Materials,"Alumni Ventures, America's Frontier Fund, Engine Ventures, Intel Capital, Material Impact, Yamaha Motor Ventures",Undisclosed,https://www.foundationalloy.com/press-release-raise-with-aff,Support & Services,2025-05-07,Early Stage Venture,Foundation Alloy,7500000
Second Front Systems – Series C,Defense Software,"Battery Ventures, Salesforce Ventures, NEA, Moore Strategic Ventures, Artis Venture",Series C,https://www.secondfront.com/resources/blog/series-c-ceo-announcement/,Software & IT Services,2024-09-16,Late Stage Venture,Second Front Systems,70000000
Gecko Robotics – Series B,"Maintenance, Repair, and Overhaul (MRO)","Drive Capital, Founders Fund, Next47, Y Combinator, Mark Cuban, Josh Reeves, Jake Seid, Justin Kan, Gokul Rajaram, Paul Buchheit",Series B,https://www.prnewswire.com/news-releases/y-combinator-alum-gecko-robotics-raises-40-million-series-b-round-led-by-drive-capital-supporting-rapid-growth-in-industrial-inspection-robotics-300975388.html,Support & Services,2019-12-16,Early Stage Venture,Gecko Robotics,40000000
Ursa Major – Series D,Missiles & Guided Munitions,"Explorer 1, Eclipse, RTX Ventures",Series D,https://www.ursamajor.com/media/press-release/ursa-majors-dollar138m-boost-new-solid-rocket-motors-and-scaled-propulsion,Weapon Systems,2023-11-30,Late Stage Venture,Ursa Major,138000000
