"records__id","records__createdTime","records__fields__Fundraising Round","records__fields__Date","records__fields__Amount","records__fields__Announcement ","records__fields__Stage","records__fields__Investors__001","records__fields__Investors__002","records__fields__Investors__003","records__fields__Investors__004","records__fields__Investors__005","records__fields__Investors__006","records__fields__Investors__007","records__fields__Investors__008","records__fields__Investors__009","records__fields__Investors__010","records__fields__Investors__011","records__fields__Investors__012","records__fields__Investors__013","records__fields__Investors__014","records__fields__Investors__015","records__fields__Company__-","records__fields__Type (Stage)","records__fields__Source__label","records__fields__Source__url","records__fields__Category__-","records__fields__Sector__-","records__fields__Sector (from Company)__-","records__fields__Category (from Company)__-","offset"
"rec04r1reIpUbqhiE","2025-03-05T21:45:50.000Z","Chaos – Series A","2023-03-06","70000000","https://news.crunchbase.com/venture/chaos-industries-defense-tech-anduril/","Early Stage Venture","reccTnWWnqOapE9LG","recXlJKIN5PYEvadR","recKtA3iQrTCJdB0V","recp1nxVLWk7LfBKN","recgtW9zIDbUCriL2","recjWw7CqJaOr3CYY","","","","","","","","","","recp83xjDN2QdAdOX","Series A","↗","https://news.crunchbase.com/venture/chaos-industries-defense-tech-anduril/","recpyzqQCE1YWMU9O","rec4xxrjaPbNq6f1u","rec4xxrjaPbNq6f1u","recpyzqQCE1YWMU9O","itrbFocO8Va713O08/recTyD73gBYFPrDh1"
"rec06dnM6h2EciosK","2025-03-17T18:06:04.000Z","Firefly – Series A","2021-05-05","75000000","https://fireflyspace.com/news/firefly-completes-oversubscribed-75m-series-a-and-100m-secondary-transaction/","Early Stage Venture","reco7VNPrZYO1r1QD","recwijxmp05pYjvW1","recDpAiJ93zB3b7MY","recyxNtLCLHdEPfrF","recW3zLv4W4BpFH6j","recw0rKFPdmP6pQzD","recYyIbh80b8bf1Si","","","","","","","","","recrPuPcemcmCbl8E","Series A","↗","https://fireflyspace.com/news/firefly-completes-oversubscribed-75m-series-a-and-100m-secondary-transaction/","recVXgbGCCmryjUeM","recysV1dDK9D0NT31","recysV1dDK9D0NT31","recVXgbGCCmryjUeM",""
"rec0EAE8lEtOHpygm","2025-03-06T18:59:06.000Z","Saildrone – Series C","2021-10-18","100000000","https://www.saildrone.com/news/saildrone-advance-ocean-intelligence-series-c-funding","Late Stage Venture","recq4T5OhIcISvILa","recOt0vyMZHtkOvss","recR8QQg3MeqzyYAC","recb3q5YXnZBcCP9b","recanTQSGmjLrAs51","recgwY9lunJDGn48A","rec2GHl3NumqPAuBC","recHNJd0IOOsHEYkO","recFSO59Czwz78aLf","","","","","","","recF7mne6kDRuUXoD","Series C","↗","https://www.saildrone.com/news/saildrone-advance-ocean-intelligence-series-c-funding","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec0H2N05l8QI7Ktw","2025-03-06T18:59:10.000Z","Saildrone – Series A","2016-09-05","14000000","https://www.prnewswire.com/news-releases/saildrone-inc-raises-14-million-in-series-a-funding-to-expand-its-fleet-of-sailing-drones-and-ocean-data-services-300322444.html","Early Stage Venture","","","","","","","","","","","","","","","","recF7mne6kDRuUXoD","Series A","↗","https://www.prnewswire.com/news-releases/saildrone-inc-raises-14-million-in-series-a-funding-to-expand-its-fleet-of-sailing-drones-and-ocean-data-services-300322444.html","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec0oTleWjLeyHEQi","2025-03-13T17:40:23.000Z","K2 Space – Series B","2025-02-13","110000000","https://www.prnewswire.com/news-releases/k2-space-announces-110m-series-b-and-first-successful-in-space-demonstration-302375955.html","Early Stage Venture","reckzI5lsxnGTU2Fy","recLsG7f7qqC8KxuU","recuTPxuINugi3JYz","recgf9yONRO0vP9n6","","","","","","","","","","","","recn8335qeKsipGcl","Series B","↗","https://www.prnewswire.com/news-releases/k2-space-announces-110m-series-b-and-first-successful-in-space-demonstration-302375955.html","recVXgbGCCmryjUeM","reczCf603xnzrW5w1","reczCf603xnzrW5w1","recVXgbGCCmryjUeM",""
"rec1d59Z1VKPAWYcL","2025-04-02T17:22:14.000Z","REGENT – Strategic","2022-02-04","18000000","https://www.regentcraft.com/news/regent-raises-18m-from-strategic-investors-to-accelerate-development-of-its-full-scale-12-passenger-prototype","Miscellaneous","recJCP3aR3YjKBp1g","receCvHpEj9SaTOfj","recK1rJWAKnphwj4a","reccmtkks8FX4IXp3","rec7cKrDkTjzuRIsG","","","","","","","","","","","recstc0yBh8guRP7o","Strategic","↗","https://www.regentcraft.com/news/regent-raises-18m-from-strategic-investors-to-accelerate-development-of-its-full-scale-12-passenger-prototype","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec1mBThG8p9JIS22","2025-03-21T17:23:47.000Z","Re:Build – Undisclosed","2024-09-25","120000000","https://rebuildmanufacturing.com/news/general-catalyst-invests-in-rebuild-manufacturing/","Miscellaneous","recj33oP2ndWNbQyD","","","","","","","","","","","","","","","recrRib4PlIvcgTFf","Undisclosed","↗","https://rebuildmanufacturing.com/news/general-catalyst-invests-in-rebuild-manufacturing/","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"rec2DkJXZ0F0AXGiD","2025-03-07T19:22:17.000Z","Saronic – Seed","2023-01-01","15000000","https://silentventures.medium.com/silent-ventures-backed-saronic-raises-55m-series-a-will-redefine-u-s-maritime-superiority-48fbf26f687b","Seed","recYfjBBxGdSwCQfL","recDtmxZfkMJF2pWx","reccTnWWnqOapE9LG","recZmfr98DI6XMvbN","reckzI5lsxnGTU2Fy","recYvSoNgbossvLlR","reckWQTR7sV9Vx1pT","recqgTCGaKR9qtd56","","","","","","","","rec0Yyo4zatqEJdTj","Seed","↗","https://silentventures.medium.com/silent-ventures-backed-saronic-raises-55m-series-a-will-redefine-u-s-maritime-superiority-48fbf26f687b","reck9rb9NUDRVYQm5","recApW4w70x92IwWB","recApW4w70x92IwWB","reck9rb9NUDRVYQm5",""
"rec2FdEdIQ2IEeOWQ","2025-03-07T20:55:03.000Z","Hadrian – Seed","2021-04-01","9500000","https://techcrunch.com/2021/04/15/hadrian-is-building-the-factories-of-the-future-for-rocket-ships-and-advanced-manufacturing/","Seed","recgwY9lunJDGn48A","recGzauRoov9AeqdU","recRLcDhGM37OeJ24","","","","","","","","","","","","","recmsqSpKGoxBCmug","Seed","↗","https://techcrunch.com/2021/04/15/hadrian-is-building-the-factories-of-the-future-for-rocket-ships-and-advanced-manufacturing/","recLSNFkL4Mx5vIAj","recu1BZw3cCaj0pqj","recu1BZw3cCaj0pqj","recLSNFkL4Mx5vIAj",""
"rec2GZrMaErT323ZV","2025-03-05T22:33:58.000Z","Deterrence – Seed","2024-12-12","10100000","https://www.prweb.com/releases/deterrence-secures-10-1m-in-funding-to-automate-energetics-production-302329902.html","Seed","recAhunz2xPdJmlZ2","recfOC4ducahp66Uw","reco1iUOqbpAXvqbe","recNBsGFtuUw3K9fX","rec1UtKHHEDoigTaJ","recXbfry8QNR6O0RG","","","","","","","","","","reclRRHg5fIY6Pdmq","Seed","↗","https://www.prweb.com/releases/deterrence-secures-10-1m-in-funding-to-automate-energetics-production-302329902.html","recnikZjj0rLnQKC5","rec35pUeOAkQ2V4Db","rec35pUeOAkQ2V4Db","recnikZjj0rLnQKC5",""
